bpf$LINK_GET_FD_BY_ID	155
bpf$LINK_GET_NEXT_ID	156
bpf$MAP_CREATE	157
bpf$MAP_CREATE_CONST_STR	158
bpf$MAP_CREATE_RINGBUF	159
bpf$MAP_CREATE_TAIL_CALL	160
bpf$MAP_DELETE_BATCH	161
bpf$MAP_DELETE_ELEM	162
bpf$MAP_GET_NEXT_KEY	163
bpf$MAP_LOOKUP_BATCH	164
bpf$MAP_LOOKUP_ELEM	165
bpf$MAP_UPDATE_BATCH	166
bpf$MAP_UPDATE_CONST_STR	167
bpf$MAP_UPDATE_ELEM	168
bpf$MAP_UPDATE_ELEM_TAIL_CALL	169
bpf$OBJ_GET_MAP	170
bpf$OBJ_GET_PROG	171
bpf$OBJ_PIN_MAP	172
bpf$OBJ_PIN_PROG	173
bpf$PROG_BIND_MAP	174
bpf$PROG_LOAD	175
bpf$PROG_LOAD_XDP	176
bpf$TOKEN_CREATE	177
bpf$auto	178
bpf$auto_BPF_BTF_GET_FD_BY_ID	179
bpf$auto_BPF_BTF_GET_NEXT_ID	180
bpf$auto_BPF_BTF_LOAD	181
bpf$auto_BPF_ENABLE_STATS	182
bpf$auto_BPF_ITER_CREATE	183
bpf$auto_BPF_LINK_CREATE	184
bpf$auto_BPF_LINK_DETACH	185
bpf$auto_BPF_LINK_GET_FD_BY_ID	186
bpf$auto_BPF_LINK_GET_NEXT_ID	187
bpf$auto_BPF_LINK_UPDATE	188
bpf$auto_BPF_MAP_CREATE	189
bpf$auto_BPF_MAP_DELETE_BATCH	190
bpf$auto_BPF_MAP_DELETE_ELEM	191
bpf$auto_BPF_MAP_FREEZE	192
bpf$auto_BPF_MAP_GET_FD_BY_ID	193
bpf$auto_BPF_MAP_GET_NEXT_ID	194
bpf$auto_BPF_MAP_GET_NEXT_KEY	195
bpf$auto_BPF_MAP_LOOKUP_AND_DELETE_BATCH	196
bpf$auto_BPF_MAP_LOOKUP_AND_DELETE_ELEM	197
bpf$auto_BPF_MAP_LOOKUP_BATCH	198
bpf$auto_BPF_MAP_LOOKUP_ELEM	199
bpf$auto_BPF_MAP_UPDATE_BATCH	200
bpf$auto_BPF_MAP_UPDATE_ELEM	201
bpf$auto_BPF_OBJ_GET	202
bpf$auto_BPF_OBJ_GET_INFO_BY_FD	203
bpf$auto_BPF_OBJ_PIN	204
